,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
242,242,40.242195047999985,11.952,2000,0.5,25
243,243,43.54648557199994,11.952,2000,0.5,25
244,244,46.780895182999984,11.952,2000,0.5,25
245,245,50.14601933299991,11.952,2000,0.5,25
246,246,53.404162455000005,11.952,2000,0.5,25
247,247,56.683562922999954,11.952,2000,0.5,25
248,248,60.054761283999824,11.952,2000,0.5,25
249,249,63.2490513969999,11.952,2000,0.5,25
250,250,66.4554886379999,11.952,2000,0.5,25
251,251,69.6367219419999,11.952,2000,0.5,25
252,252,72.92444724500001,11.952,2000,0.5,25
253,253,3.0422986789999413,9.206,2000,0.75,25
254,254,6.572326707000002,11.952,2000,0.75,25
255,255,10.127905107999823,11.952,2000,0.75,25
256,256,13.73197211999991,11.952,2000,0.75,25
257,257,17.288622287999942,11.952,2000,0.75,25
258,258,20.98094732499999,11.952,2000,0.75,25
259,259,24.672382176999918,11.952,2000,0.75,25
260,260,28.36029646299994,11.952,2000,0.75,25
261,261,32.03885250999997,11.952,2000,0.75,25
262,262,35.58742280799993,11.952,2000,0.75,25
263,263,39.066422784,11.952,2000,0.75,25
264,264,42.67756280100002,11.952,2000,0.75,25
265,265,46.421125977999964,11.952,2000,0.75,25
266,266,50.21986153399985,11.952,2000,0.75,25
267,267,53.936781351000036,11.952,2000,0.75,25
268,268,57.62790125599986,11.952,2000,0.75,25
269,269,61.31252229400002,11.952,2000,0.75,25
270,270,64.98141245599982,11.952,2000,0.75,25
271,271,68.47836858899996,11.952,2000,0.75,25
272,272,71.72826859899988,11.952,2000,0.75,25
273,273,75.08659801999988,11.952,2000,0.75,25
274,274,78.32909437699982,11.952,2000,0.75,25
275,275,4.710212948000162,9.206,3000,0.1,25
276,276,9.55515282500005,11.952,3000,0.1,25
277,277,14.353797921000023,11.952,3000,0.1,25
278,278,19.297045735999973,11.952,3000,0.1,25
279,279,24.116511664999962,11.952,3000,0.1,25
280,280,28.943809201000022,11.952,3000,0.1,25
281,281,33.76757541799998,11.952,3000,0.1,25
282,282,38.603532318000134,11.952,3000,0.1,25
283,283,43.402611894000074,11.952,3000,0.1,25
284,284,48.08528500600005,11.952,3000,0.1,25
285,285,52.94607664099999,11.952,3000,0.1,25
286,286,57.776808695,11.952,3000,0.1,25
287,287,62.854775088,11.952,3000,0.1,25
288,288,68.170089878,11.952,3000,0.1,25
289,289,73.3697674550001,11.952,3000,0.1,25
290,290,78.3798860060001,11.952,3000,0.1,25
291,291,83.17797396000014,11.952,3000,0.1,25
292,292,87.99681866200012,11.952,3000,0.1,25
293,293,92.84179569399998,11.952,3000,0.1,25
294,294,97.91755859500017,11.952,3000,0.1,25
295,295,102.95161857700009,11.952,3000,0.1,25
296,296,107.81000882800004,11.952,3000,0.1,25
297,297,4.687761033000015,9.206,3000,0.25,25
298,298,9.594435170999986,11.952,3000,0.25,25
299,299,14.473952828000165,11.952,3000,0.25,25
300,300,19.366799281000112,11.952,3000,0.25,25
301,301,24.226328890000104,11.952,3000,0.25,25
302,302,29.10812114800001,11.952,3000,0.25,25
303,303,33.98548746000006,11.952,3000,0.25,25
304,304,38.83620310800006,11.952,3000,0.25,25
305,305,43.74537179699996,11.952,3000,0.25,25
306,306,48.63227517600012,11.952,3000,0.25,25
307,307,53.538817134000055,11.952,3000,0.25,25
308,308,58.32186008200006,11.952,3000,0.25,25
309,309,63.20752151299985,11.952,3000,0.25,25
310,310,68.15698392000013,11.952,3000,0.25,25
311,311,73.06534079799985,11.952,3000,0.25,25
312,312,77.9960064830002,11.952,3000,0.25,25
313,313,82.86674081399997,11.952,3000,0.25,25
314,314,87.85896886499995,11.952,3000,0.25,25
315,315,93.20894213400015,11.952,3000,0.25,25
316,316,98.67338561899987,11.952,3000,0.25,25
317,317,104.1976590600002,11.952,3000,0.25,25
318,318,109.71682076700017,11.952,3000,0.25,25
319,319,5.317318118000003,9.206,3000,0.5,25
320,320,10.890747288000057,11.952,3000,0.5,25
321,321,16.303277272000287,11.952,3000,0.5,25
322,322,21.851626277000378,11.952,3000,0.5,25
323,323,27.425216565000028,11.952,3000,0.5,25
324,324,32.91486096100016,11.952,3000,0.5,25
325,325,38.281271881000066,11.952,3000,0.5,25
326,326,43.830757326000366,11.952,3000,0.5,25
327,327,49.43018687800031,11.952,3000,0.5,25
328,328,54.96223438900006,11.952,3000,0.5,25
329,329,60.318669737000164,11.952,3000,0.5,25
330,330,65.72795954200001,11.952,3000,0.5,25
331,331,71.29401475800023,11.952,3000,0.5,25
332,332,76.68182552799999,11.952,3000,0.5,25
333,333,81.98448066200035,11.952,3000,0.5,25
334,334,87.54129605700018,11.952,3000,0.5,25
335,335,93.15504669500024,11.952,3000,0.5,25
336,336,98.52277315900028,11.952,3000,0.5,25
337,337,103.4640161870002,11.952,3000,0.5,25
338,338,108.39415025700009,11.952,3000,0.5,25
339,339,113.3068866980002,11.952,3000,0.5,25
340,340,118.29610099900037,11.952,3000,0.5,25
341,341,4.631069261999983,9.206,3000,0.75,25
342,342,9.592461409999942,11.952,3000,0.75,25
343,343,14.374836882999716,11.952,3000,0.75,25
344,344,19.25649301700014,11.952,3000,0.75,25
345,345,24.160540744999707,11.952,3000,0.75,25
346,346,29.052917609999895,11.952,3000,0.75,25
347,347,33.99938895200012,11.952,3000,0.75,25
348,348,38.924144480999985,11.952,3000,0.75,25
349,349,43.79673669700014,11.952,3000,0.75,25
350,350,48.74945324600003,11.952,3000,0.75,25
351,351,53.9602440929998,11.952,3000,0.75,25
352,352,59.02068559999998,11.952,3000,0.75,25
353,353,63.95574900199972,11.952,3000,0.75,25
354,354,68.90969328399979,11.952,3000,0.75,25
355,355,73.71723064699972,11.952,3000,0.75,25
356,356,78.56828841600009,11.952,3000,0.75,25
357,357,83.5213027599998,11.952,3000,0.75,25
358,358,88.37683652299984,11.952,3000,0.75,25
359,359,93.28390655700014,11.952,3000,0.75,25
360,360,98.24762684000007,11.952,3000,0.75,25
361,361,103.16734120399997,11.952,3000,0.75,25
362,362,108.0697297480001,11.952,3000,0.75,25
